record_id,record_date,boat_id,boat_type,engine_model,engine_age_years,total_engine_hours,avg_daily_operating_hours,last_maintenance_date,last_maintenance_type,days_since_last_maintenance,hours_since_last_service,engine_temp_c,oil_pressure_bar,coolant_level_percent,engine_rpm,fuel_consumption_lph,vibration_level,unusual_sounds,oil_change_days_ago,filter_change_days_ago,sea_condition,hull_condition,last_inspection_days,condition_severity,maintenance_reason,maintenance_condition_notes,days_until_maintenance,maintenance_needed_soon,maintenance_due_date
R0476,2023-08-15,FB024,Net Boat,Perkins M92,6.7,14769,8,2023-04-29,Cooling system overhaul,108,867,79.5,5.34,84,1802,77.3,1,No,61,67,2,Good,24,Normal,Service interval reached (hours),service_hours=867; oil_change_overdue=61days; filter_overdue=67days,44,No,2023-09-28
R0477,2023-08-15,FB026,Longline,Caterpillar C7.1,4.1,8633,9,2023-07-19,Fuel filter replacement,27,244,77.4,3.63,93,1293,55.7,1,No,57,48,1,Fair,42,Normal,Oil change due soon,oil_change_overdue=57days,29,No,2023-09-13
R0478,2023-08-16,FB001,Longline,Yanmar 4JH45,2.8,5194,7,2023-07-16,Fuel filter replacement,31,223,78.3,4.54,86,958,30.3,1,No,6,1,2,Fair,41,Normal,Routine preventive maintenance,All parameters normal,13,No,2023-08-29
R0479,2023-08-16,FB020,Trawler,Cummins 6BTA,2.9,6095,8,2023-07-26,Oil & filter change,21,174,65.0,4.56,92,1554,52.9,2,No,19,12,1,Good,20,Normal,Routine preventive maintenance,All parameters normal,12,No,2023-08-28
R0480,2023-08-17,FB004,Net Boat,Cummins QSB6.7,4.4,8428,8,2023-07-19,Oil & filter change,29,239,79.3,4.14,85,1104,40.2,3,No,13,24,3,Good,12,Normal,Routine preventive maintenance,vibration=3,46,No,2023-10-02
R0481,2023-08-17,FB009,Net Boat,Perkins M92,4.9,9123,9,2023-08-06,Routine inspection,11,100,79.1,3.39,80,1194,41.4,3,No,9,14,2,Fair,41,Normal,Routine preventive maintenance,coolant=80%; vibration=3,2,Yes,2023-08-19
R0482,2023-08-18,FB025,Trawler,Perkins M115T,7.5,14825,9,2023-06-07,Cooling system overhaul,72,648,84.2,3.17,99,1020,25.0,4,Yes,44,42,1,Fair,40,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; service_hours=648,50,No,2023-10-07
R0483,2023-08-18,FB008,Seiner,Volvo D13,6.0,12045,10,2023-07-09,Fuel filter replacement,40,409,85.5,4.07,93,1263,48.0,2,No,7,12,2,Good,6,Normal,Routine preventive maintenance,All parameters normal,35,No,2023-09-22
R0484,2023-08-19,FB024,Net Boat,Perkins M92,6.3,11663,9,2023-07-25,Oil & filter change,25,228,78.1,4.13,88,1503,57.8,4,Yes,27,23,2,Good,26,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds,23,No,2023-09-11
R0485,2023-08-19,FB014,Net Boat,MAN D2862,8.4,16225,7,2023-08-03,Routine inspection,16,118,83.1,4.81,87,1564,55.0,1,No,13,21,1,Fair,43,Normal,Routine preventive maintenance,All parameters normal,81,No,2023-11-08
R0486,2023-08-20,FB007,Gillnetter,Volvo D4-180,4.4,8805,9,2023-07-19,Oil & filter change,32,289,73.5,4.65,99,1470,53.6,2,No,8,7,1,Good,10,Normal,Routine preventive maintenance,All parameters normal,90,No,2023-11-18
R0487,2023-08-20,FB011,Longline,Caterpillar C7.1,4.3,8395,7,2023-07-29,Fuel filter replacement,22,155,82.8,5.17,94,1138,49.5,2,No,44,49,1,Good,11,Normal,Routine preventive maintenance,All parameters normal,8,No,2023-08-28
R0488,2023-08-20,FB016,Longline,Yanmar 4JH45,8.0,16197,11,2023-06-29,Fuel filter replacement,52,578,76.1,5.32,97,1438,65.9,3,No,16,12,1,Poor,61,Normal,Hull/inspection required,vibration=3; hull_poor; inspection_overdue=61days,26,No,2023-09-15
R0489,2023-08-21,FB023,Seiner,Volvo D13,3.2,5792,10,2023-08-15,Routine inspection,6,62,73.1,4.69,87,1019,31.9,3,Yes,19,9,2,Good,10,Normal,Routine preventive maintenance,vibration=3; unusual_sounds,74,No,2023-11-03
R0490,2023-08-21,FB019,Net Boat,Cummins QSB6.7,6.6,13557,8,2023-05-24,Major service,89,713,78.1,3.0,91,880,23.0,1,No,12,26,2,Good,23,Normal,Approaching service interval,service_hours=713,90,No,2023-11-19
R0491,2023-08-22,FB028,Seiner,John Deere 6068,6.8,13008,8,2023-07-19,Fuel filter replacement,34,275,86.0,3.85,93,1763,58.6,4,Yes,32,38,1,Fair,35,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds,34,No,2023-09-25
R0492,2023-08-22,FB027,Gillnetter,Caterpillar C9.3,2.2,5221,7,2023-05-22,Major service,92,646,79.9,4.38,87,1795,88.8,4,Yes,41,47,1,Fair,24,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; service_hours=646,41,No,2023-10-02
R0493,2023-08-23,FB023,Seiner,Volvo D13,4.8,8742,8,2023-05-29,Valve adjustment,86,693,86.5,4.33,90,1404,60.9,4,No,18,23,2,Good,20,Normal,Approaching service interval,vibration=4; service_hours=693,7,Yes,2023-08-30
R0494,2023-08-23,FB019,Net Boat,Cummins QSB6.7,2.9,5253,7,2023-05-22,Valve adjustment,93,654,75.3,3.27,87,1068,39.7,2,No,37,49,2,Good,26,Normal,Approaching service interval,service_hours=654,68,No,2023-10-30
R0495,2023-08-24,FB009,Net Boat,Perkins M92,2.8,5808,11,2023-06-18,Major service,67,743,84.2,4.32,93,1392,30.4,5,Yes,21,11,2,Good,12,Normal,Abnormal vibration/noise,vibration=5; unusual_sounds; service_hours=743,50,No,2023-10-13
R0496,2023-08-24,FB013,Seiner,John Deere 6068,4.7,10232,7,2023-07-27,Fuel filter replacement,28,198,75.7,3.71,83,1355,49.2,3,No,26,39,2,Good,27,Normal,Routine preventive maintenance,vibration=3,75,No,2023-11-07
R0497,2023-08-25,FB004,Net Boat,Cummins QSB6.7,3.5,7157,10,2023-07-18,Oil & filter change,38,384,80.1,3.68,94,1748,69.5,2,Yes,37,38,1,Good,21,Normal,Routine preventive maintenance,unusual_sounds,29,No,2023-09-23
R0498,2023-08-25,FB012,Gillnetter,Caterpillar C9.3,7.1,14481,9,2023-07-06,Oil & filter change,50,450,80.1,4.97,92,1542,65.4,2,No,43,47,2,Fair,42,Normal,Routine preventive maintenance,All parameters normal,36,No,2023-09-30
R0499,2023-08-26,FB028,Seiner,John Deere 6068,7.9,15808,8,2023-07-11,Cooling system service,46,368,82.3,3.9,89,1302,41.8,3,Yes,54,67,2,Fair,32,Normal,Oil change due soon,vibration=3; unusual_sounds; oil_change_overdue=54days; filter_overdue=67days,25,No,2023-09-20
R0500,2023-08-26,FB013,Seiner,John Deere 6068,7.1,13686,11,2023-07-15,Fuel filter replacement,42,467,80.3,4.17,93,1725,67.3,3,No,19,29,2,Good,16,Normal,Routine preventive maintenance,vibration=3,21,No,2023-09-16
R0501,2023-08-27,FB004,Net Boat,Cummins QSB6.7,3.4,6554,7,2023-06-24,Cooling system service,64,453,75.3,4.26,88,1865,82.7,2,No,23,21,1,Fair,28,Normal,Routine preventive maintenance,All parameters normal,36,No,2023-10-02
R0502,2023-08-27,FB020,Trawler,Cummins 6BTA,3.4,6194,11,2023-08-15,Routine inspection,12,139,83.4,4.26,86,1459,47.6,5,Yes,39,51,2,Good,18,Normal,Abnormal vibration/noise,vibration=5; unusual_sounds,10,No,2023-09-06
R0503,2023-08-28,FB029,Net Boat,MAN D2862,3.3,5960,10,2023-08-10,Oil & filter change,18,186,87.7,3.35,94,1358,43.8,1,No,19,11,1,Good,24,Normal,Cooling system check required,temp=87.7C,73,No,2023-11-09
R0504,2023-08-28,FB027,Gillnetter,Caterpillar C9.3,2.4,5000,10,2023-06-27,Major service,62,620,76.1,4.36,94,2023,87.7,2,No,48,41,1,Fair,40,Normal,Approaching service interval,service_hours=620; oil_change_overdue=48days,24,No,2023-09-21
R0505,2023-08-29,FB009,Net Boat,Perkins M92,8.1,15638,11,2023-07-09,Cooling system service,51,562,69.8,3.67,87,1412,64.0,1,No,54,49,1,Fair,46,Normal,Oil change due soon,oil_change_overdue=54days; inspection_overdue=46days,64,No,2023-11-01
R0506,2023-08-29,FB014,Net Boat,MAN D2862,4.3,8759,9,2023-06-11,Cooling system overhaul,79,712,81.5,4.5,87,1265,51.1,2,No,38,34,2,Fair,26,Normal,Approaching service interval,service_hours=712,49,No,2023-10-17
R0507,2023-08-30,FB016,Longline,Yanmar 4JH45,3.1,5549,8,2023-06-22,Fuel filter replacement,69,554,77.3,3.18,89,1280,54.3,1,No,22,28,2,Good,18,Normal,Routine preventive maintenance,All parameters normal,36,No,2023-10-05
R0508,2023-08-30,FB008,Seiner,Volvo D13,7.4,14948,7,2023-08-16,Routine inspection,14,99,78.3,5.38,87,1643,65.4,1,No,41,41,1,Fair,30,Normal,Routine preventive maintenance,All parameters normal,82,No,2023-11-20
R0509,2023-08-30,FB009,Net Boat,Perkins M92,4.3,8355,11,2023-08-24,Routine inspection,6,73,81.8,4.81,100,1589,75.3,1,No,69,80,1,Good,17,Normal,Oil change overdue,oil_change_overdue=69days; filter_overdue=80days,24,No,2023-09-23
R0510,2023-08-31,FB008,Seiner,Volvo D13,1.7,4103,9,2023-07-29,Oil & filter change,33,300,76.7,3.88,92,1237,26.6,1,No,23,28,1,Fair,24,Normal,Routine preventive maintenance,All parameters normal,23,No,2023-09-23
R0511,2023-08-31,FB030,Trawler,Yanmar 6LY3,2.6,5361,11,2023-08-08,Fuel filter replacement,23,253,77.7,3.58,91,1221,59.6,1,No,16,21,2,Fair,32,Normal,Routine preventive maintenance,All parameters normal,62,No,2023-11-01
R0512,2023-09-01,FB023,Seiner,Volvo D13,6.0,12617,8,2023-07-08,Cooling system service,55,441,78.5,3.81,85,1706,87.7,3,No,12,21,2,Fair,32,Normal,Routine preventive maintenance,vibration=3,37,No,2023-10-08
R0513,2023-09-01,FB026,Longline,Caterpillar C7.1,7.0,13622,11,2023-07-10,Oil & filter change,53,591,86.3,4.68,95,1269,48.2,1,No,9,9,3,Fair,36,Normal,Routine preventive maintenance,All parameters normal,12,No,2023-09-13
R0514,2023-09-02,FB025,Trawler,Perkins M115T,3.0,6028,11,2023-06-24,Valve adjustment,70,775,79.2,4.5,87,1496,64.2,1,No,12,10,3,Good,22,Normal,Service interval reached (hours),service_hours=775,55,No,2023-10-27
R0515,2023-09-02,FB029,Net Boat,MAN D2862,7.9,15309,8,2023-07-18,Oil & filter change,46,369,72.8,4.63,87,1786,72.4,1,No,7,1,4,Poor,59,Normal,Hull/inspection required,sea_state=4; hull_poor; inspection_overdue=59days,13,No,2023-09-15
R0516,2023-09-03,FB004,Net Boat,Cummins QSB6.7,7.5,14793,9,2023-08-12,Fuel filter replacement,22,205,73.0,5.11,95,1726,67.6,1,No,16,27,2,Fair,46,Normal,Hull/inspection required,inspection_overdue=46days,23,No,2023-09-26
R0517,2023-09-03,FB027,Gillnetter,Caterpillar C9.3,7.4,14668,10,2023-08-03,Fuel filter replacement,31,316,79.7,3.99,93,1460,49.2,1,No,44,39,3,Fair,29,Normal,Routine preventive maintenance,All parameters normal,89,No,2023-12-01
R0518,2023-09-04,FB002,Gillnetter,Yanmar 4LHA,3.1,5837,8,2023-08-15,Fuel filter replacement,20,164,73.4,4.54,75,1660,65.3,4,Yes,13,19,2,Good,13,Normal,Abnormal vibration/noise,coolant=75%; vibration=4; unusual_sounds,35,No,2023-10-09
R0519,2023-09-04,FB015,Trawler,Yanmar 6LY3,1.9,3192,7,2023-08-23,Routine inspection,12,84,71.2,3.95,90,1347,53.4,2,Yes,20,29,3,Good,15,Normal,Routine preventive maintenance,unusual_sounds,30,No,2023-10-04
R0520,2023-09-05,FB018,Seiner,Cummins 6BT5.9,7.6,14493,8,2023-07-29,Oil & filter change,38,308,82.2,4.46,91,1418,56.1,1,No,20,19,2,Good,19,Normal,Routine preventive maintenance,All parameters normal,17,No,2023-09-22
R0521,2023-09-05,FB011,Longline,Caterpillar C7.1,3.6,6030,9,2023-08-10,Oil & filter change,26,240,82.4,4.03,88,1290,63.1,2,No,25,19,4,Good,24,Normal,Routine preventive maintenance,sea_state=4,62,No,2023-11-06
R0522,2023-09-06,FB005,Trawler,Cummins 6BTA,5.8,11071,7,2023-08-15,Oil & filter change,22,154,77.2,4.82,91,1242,43.5,1,No,25,32,2,Good,18,Normal,Routine preventive maintenance,All parameters normal,84,No,2023-11-29
R0523,2023-09-06,FB006,Longline,Volvo D6-310,6.8,13913,8,2023-07-03,Cooling system service,65,520,80.5,2.81,80,990,15.2,3,Yes,28,26,3,Fair,48,Normal,Hull/inspection required,coolant=80%; vibration=3; unusual_sounds; inspection_overdue=48days,13,No,2023-09-19
R0524,2023-09-07,FB025,Trawler,Perkins M115T,2.4,4000,11,2023-07-20,Fuel filter replacement,49,546,79.9,3.36,74,1272,59.0,4,Yes,8,19,2,Good,15,Normal,Abnormal vibration/noise,coolant=74%; vibration=4; unusual_sounds,19,No,2023-09-26
R0525,2023-09-07,FB010,Trawler,Perkins M115T,7.0,13315,7,2023-08-11,Fuel filter replacement,27,195,82.0,3.57,85,1179,28.1,1,No,17,18,5,Good,17,Normal,Routine preventive maintenance,sea_state=5,49,No,2023-10-26
R0526,2023-09-08,FB010,Trawler,Perkins M115T,8.1,17095,7,2023-07-09,Oil & filter change,61,431,82.0,5.26,92,1517,52.8,1,No,68,66,1,Fair,41,Normal,Oil change overdue,oil_change_overdue=68days; filter_overdue=66days,12,No,2023-09-20
R0527,2023-09-08,FB028,Seiner,John Deere 6068,6.6,12881,9,2023-08-26,Oil & filter change,13,125,66.0,4.12,71,1315,49.1,2,No,44,52,2,Good,8,Normal,Cooling system check required,coolant=71%,61,No,2023-11-08
R0528,2023-09-09,FB005,Trawler,Cummins 6BTA,4.6,9360,7,2023-07-29,Oil & filter change,42,298,77.8,3.75,85,1140,40.6,1,No,5,4,1,Good,8,Normal,Routine preventive maintenance,All parameters normal,19,No,2023-09-28
R0529,2023-09-09,FB028,Seiner,John Deere 6068,7.6,15521,7,2023-06-17,Oil & filter change,84,590,81.6,3.85,79,1385,37.5,1,No,30,39,4,Poor,53,Normal,Cooling system check required,coolant=79%; sea_state=4; hull_poor; inspection_overdue=53days,76,No,2023-11-24
R0530,2023-09-09,FB028,Seiner,John Deere 6068,5.2,10731,7,2023-07-21,Fuel filter replacement,50,351,76.9,3.97,89,1277,37.8,2,Yes,10,17,3,Fair,24,Normal,Routine preventive maintenance,unusual_sounds,9,No,2023-09-18
R0531,2023-09-10,FB018,Seiner,Cummins 6BT5.9,6.7,12638,7,2023-06-19,Cooling system service,83,585,79.2,5.06,100,1159,24.6,2,No,26,38,3,Fair,33,Normal,Routine preventive maintenance,All parameters normal,71,No,2023-11-20
R0532,2023-09-10,FB005,Trawler,Cummins 6BTA,7.2,14284,11,2023-08-06,Cooling system service,35,389,82.8,5.3,89,1296,51.2,1,No,5,5,2,Fair,31,Normal,Routine preventive maintenance,All parameters normal,28,No,2023-10-08
R0533,2023-09-11,FB005,Trawler,Cummins 6BTA,6.7,12590,7,2023-08-28,Routine inspection,14,100,79.4,4.99,90,1419,63.0,3,No,35,27,3,Good,19,Normal,Routine preventive maintenance,vibration=3,78,No,2023-11-28
R0534,2023-09-11,FB009,Net Boat,Perkins M92,3.5,8223,9,2023-08-10,Fuel filter replacement,32,291,86.5,4.99,96,1443,42.7,1,No,44,38,2,Good,27,Normal,Routine preventive maintenance,All parameters normal,52,No,2023-11-02
R0535,2023-09-12,FB018,Seiner,Cummins 6BT5.9,2.3,3802,10,2023-08-15,Oil & filter change,28,289,84.6,3.32,91,1620,72.5,1,No,65,55,2,Good,18,Normal,Oil change overdue,oil_change_overdue=65days; filter_overdue=55days,16,No,2023-09-28
R0536,2023-09-12,FB005,Trawler,Cummins 6BTA,3.2,5876,10,2023-08-25,Oil & filter change,18,189,78.4,3.5,89,1672,74.8,3,No,21,32,3,Good,26,Normal,Routine preventive maintenance,vibration=3,69,No,2023-11-20
R0537,2023-09-13,FB014,Net Boat,MAN D2862,5.0,9479,10,2023-08-13,Fuel filter replacement,31,312,78.0,4.35,96,1265,37.9,2,No,12,8,2,Fair,38,Normal,Routine preventive maintenance,All parameters normal,12,No,2023-09-25
R0538,2023-09-13,FB004,Net Boat,Cummins QSB6.7,5.0,9251,8,2023-08-22,Oil & filter change,22,178,65.0,4.51,93,1451,36.3,2,No,12,7,1,Fair,39,Normal,Routine preventive maintenance,All parameters normal,25,No,2023-10-08
R0539,2023-09-14,FB017,Gillnetter,Yanmar 4LHA,5.6,11876,11,2023-08-21,Fuel filter replacement,24,269,77.4,3.33,92,1290,35.6,2,No,36,41,3,Fair,45,Normal,Hull/inspection required,inspection_overdue=45days,52,No,2023-11-05
R0540,2023-09-14,FB001,Longline,Yanmar 4JH45,4.3,9811,7,2023-06-16,Valve adjustment,90,633,72.2,4.74,90,1232,36.6,2,No,9,5,1,Good,18,Normal,Approaching service interval,service_hours=633,85,No,2023-12-08
R0541,2023-09-15,FB022,Gillnetter,Volvo D4-180,7.0,13762,7,2023-07-02,Fuel filter replacement,75,531,80.1,3.32,88,1758,85.1,3,No,9,23,3,Fair,49,Normal,Hull/inspection required,vibration=3; inspection_overdue=49days,53,No,2023-11-07
R0542,2023-09-15,FB002,Gillnetter,Yanmar 4LHA,7.9,15139,11,2023-07-05,Cooling system overhaul,72,798,79.8,3.48,96,1295,44.4,2,No,19,30,2,Fair,39,Normal,Service interval reached (hours),service_hours=798,23,No,2023-10-08
R0543,2023-09-16,FB006,Longline,Volvo D6-310,3.2,5281,7,2023-07-04,Cooling system service,74,522,82.5,3.6,88,1503,48.0,2,No,17,18,3,Fair,31,Normal,Routine preventive maintenance,All parameters normal,16,No,2023-10-02
R0544,2023-09-16,FB006,Longline,Volvo D6-310,6.7,13277,7,2023-06-15,Cooling system overhaul,93,656,86.0,5.0,98,1445,55.2,3,No,44,50,1,Fair,34,Normal,Approaching service interval,vibration=3; service_hours=656,57,No,2023-11-12
R0545,2023-09-17,FB025,Trawler,Perkins M115T,6.2,12241,7,2023-08-10,Fuel filter replacement,38,272,78.9,4.7,84,1348,36.8,1,No,62,61,3,Fair,40,Normal,Oil change overdue,oil_change_overdue=62days; filter_overdue=61days,39,No,2023-10-26
R0546,2023-09-17,FB002,Gillnetter,Yanmar 4LHA,5.2,10074,7,2023-07-05,Cooling system service,74,520,90.4,4.18,99,1550,64.3,3,No,26,26,3,Good,11,Normal,Cooling system check required,temp=90.4C; vibration=3,53,No,2023-11-09
R0547,2023-09-18,FB013,Seiner,John Deere 6068,2.8,5710,7,2023-07-16,Fuel filter replacement,64,450,80.2,4.93,93,1401,42.6,1,No,9,11,3,Good,21,Normal,Routine preventive maintenance,All parameters normal,42,No,2023-10-30
R0548,2023-09-18,FB018,Seiner,Cummins 6BT5.9,7.1,14397,9,2023-06-25,Cooling system overhaul,85,766,72.4,4.91,85,1585,54.1,2,No,48,47,2,Fair,22,Normal,Service interval reached (hours),service_hours=766; oil_change_overdue=48days,58,No,2023-11-15
R0549,2023-09-19,FB016,Longline,Yanmar 4JH45,8.2,16561,10,2023-07-31,Cooling system service,50,500,76.2,3.81,94,1227,45.1,3,No,13,13,3,Good,21,Normal,Routine preventive maintenance,vibration=3,39,No,2023-10-28
R0550,2023-09-19,FB021,Longline,Volvo D6-310,6.6,13041,7,2023-06-01,Cooling system overhaul,110,773,77.1,4.83,87,1531,74.4,2,No,19,13,2,Fair,22,Normal,Service interval reached (hours),service_hours=773,14,No,2023-10-03
R0551,2023-09-19,FB025,Trawler,Perkins M115T,7.9,15249,11,2023-08-13,Fuel filter replacement,37,412,82.0,3.34,91,1301,65.6,1,No,17,23,1,Poor,49,Normal,Hull/inspection required,hull_poor; inspection_overdue=49days,5,Yes,2023-09-24
R0552,2023-09-20,FB012,Gillnetter,Caterpillar C9.3,8.4,17132,7,2023-05-27,Valve adjustment,116,812,74.3,4.11,88,1391,41.5,2,No,9,1,1,Poor,69,Normal,Service interval reached (hours),service_hours=812; hull_poor; inspection_overdue=69days,35,No,2023-10-25
R0553,2023-09-20,FB025,Trawler,Perkins M115T,4.0,8006,10,2023-08-24,Fuel filter replacement,27,275,77.5,3.11,90,1404,46.2,3,Yes,27,39,2,Good,24,Normal,Routine preventive maintenance,vibration=3; unusual_sounds,75,No,2023-12-04
R0554,2023-09-21,FB010,Trawler,Perkins M115T,6.0,12444,11,2023-09-08,Fuel filter replacement,13,153,78.2,3.91,96,935,30.1,5,No,25,37,3,Good,22,Normal,Routine preventive maintenance,vibration=5,18,No,2023-10-09
R0555,2023-09-21,FB030,Trawler,Yanmar 6LY3,4.8,9995,9,2023-08-31,Oil & filter change,21,197,76.8,4.15,94,1110,45.7,2,No,25,20,2,Good,26,Normal,Routine preventive maintenance,All parameters normal,76,No,2023-12-06
R0556,2023-09-22,FB016,Longline,Yanmar 4JH45,8.4,16089,9,2023-08-09,Oil & filter change,44,399,83.1,3.01,84,1023,12.0,1,No,49,40,3,Fair,41,Normal,Oil change due soon,oil_change_overdue=49days,9,No,2023-10-01
R0557,2023-09-22,FB023,Seiner,Volvo D13,2.2,3682,7,2023-09-11,Oil & filter change,11,83,82.2,4.0,84,1513,58.4,1,No,50,51,3,Good,7,Normal,Oil change due soon,oil_change_overdue=50days,58,No,2023-11-19
R0558,2023-09-23,FB027,Gillnetter,Caterpillar C9.3,4.4,8422,8,2023-09-12,Oil & filter change,11,88,84.8,4.49,92,1549,55.2,2,No,34,25,2,Good,24,Normal,Routine preventive maintenance,All parameters normal,17,No,2023-10-10
R0559,2023-09-23,FB024,Net Boat,Perkins M92,7.6,14671,11,2023-08-31,Fuel filter replacement,23,259,77.3,4.4,93,1753,53.6,1,No,15,15,1,Fair,28,Normal,Routine preventive maintenance,All parameters normal,7,Yes,2023-09-30
R0560,2023-09-24,FB026,Longline,Caterpillar C7.1,3.5,7377,8,2023-07-24,Fuel filter replacement,62,499,85.0,2.94,86,1075,21.2,3,No,12,20,2,Good,18,Normal,Routine preventive maintenance,vibration=3,46,No,2023-11-09
R0561,2023-09-24,FB017,Gillnetter,Yanmar 4LHA,7.0,14175,7,2023-09-03,Fuel filter replacement,21,153,72.2,3.05,100,1398,46.1,2,No,32,29,2,Good,25,Normal,Routine preventive maintenance,All parameters normal,13,No,2023-10-07
R0562,2023-09-25,FB002,Gillnetter,Yanmar 4LHA,4.2,8949,10,2023-08-27,Fuel filter replacement,29,298,72.1,3.71,95,1276,45.0,2,No,68,80,1,Fair,40,Normal,Oil change overdue,oil_change_overdue=68days; filter_overdue=80days,40,No,2023-11-04
R0563,2023-09-25,FB015,Trawler,Yanmar 6LY3,8.4,16998,10,2023-07-29,Oil & filter change,58,587,72.9,4.99,87,1274,53.4,1,No,19,9,3,Poor,45,Normal,Hull/inspection required,hull_poor; inspection_overdue=45days,42,No,2023-11-06
R0564,2023-09-26,FB006,Longline,Volvo D6-310,7.7,15504,7,2023-07-16,Fuel filter replacement,72,510,79.0,5.06,86,1585,64.8,1,No,28,35,4,Poor,64,Normal,Hull/inspection required,sea_state=4; hull_poor; inspection_overdue=64days,9,No,2023-10-05
R0565,2023-09-26,FB027,Gillnetter,Caterpillar C9.3,3.6,7799,7,2023-07-09,Fuel filter replacement,79,555,85.0,3.6,89,1390,59.3,2,No,59,61,1,Good,23,Normal,Oil change due soon,oil_change_overdue=59days; filter_overdue=61days,50,No,2023-11-15
R0566,2023-09-27,FB008,Seiner,Volvo D13,6.9,14034,7,2023-09-07,Routine inspection,20,145,76.0,4.67,89,1570,61.0,2,No,34,30,1,Good,7,Normal,Routine preventive maintenance,All parameters normal,27,No,2023-10-24
R0567,2023-09-27,FB007,Gillnetter,Volvo D4-180,3.9,7834,7,2023-05-31,Cooling system overhaul,119,837,76.6,4.3,98,1789,66.6,1,No,63,63,3,Good,26,Normal,Service interval reached (hours),service_hours=837; oil_change_overdue=63days; filter_overdue=63days,5,Yes,2023-10-02
R0568,2023-09-28,FB008,Seiner,Volvo D13,5.7,12140,10,2023-07-25,Cooling system overhaul,65,659,77.9,5.36,96,999,27.4,2,Yes,24,20,4,Fair,27,Normal,Approaching service interval,unusual_sounds; service_hours=659; sea_state=4,29,No,2023-10-27
R0569,2023-09-28,FB020,Trawler,Cummins 6BTA,6.1,12257,7,2023-08-22,Oil & filter change,37,264,81.9,3.05,91,1207,46.9,2,No,6,11,4,Fair,23,Normal,Routine preventive maintenance,sea_state=4,37,No,2023-11-04
R0570,2023-09-29,FB018,Seiner,Cummins 6BT5.9,7.3,14447,10,2023-09-11,Fuel filter replacement,18,182,76.6,4.22,95,1259,52.8,2,No,36,50,4,Poor,58,Normal,Hull/inspection required,sea_state=4; hull_poor; inspection_overdue=58days,38,No,2023-11-06
R0571,2023-09-29,FB029,Net Boat,MAN D2862,1.7,2981,7,2023-08-08,Oil & filter change,52,369,76.3,4.34,95,1361,47.8,4,Yes,14,16,2,Good,20,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds,19,No,2023-10-18
R0572,2023-09-29,FB013,Seiner,John Deere 6068,3.0,6351,11,2023-07-31,Cooling system overhaul,60,668,72.3,3.6,91,1575,52.7,1,No,38,45,5,Poor,47,Normal,Approaching service interval,service_hours=668; sea_state=5; hull_poor; inspection_overdue=47days,8,No,2023-10-07
R0573,2023-09-30,FB009,Net Boat,Perkins M92,6.5,13618,10,2023-07-22,Cooling system overhaul,70,707,76.1,2.92,93,1050,34.9,1,No,30,35,2,Fair,26,Normal,Approaching service interval,service_hours=707,65,No,2023-12-04
R0574,2023-09-30,FB002,Gillnetter,Yanmar 4LHA,5.4,10774,8,2023-06-26,Valve adjustment,96,771,84.9,2.94,94,1552,64.1,3,No,41,51,1,Good,20,Normal,Service interval reached (hours),vibration=3; service_hours=771,17,No,2023-10-17
R0575,2023-10-01,FB001,Longline,Yanmar 4JH45,5.0,10653,4,2023-04-04,Cooling system overhaul,180,921,79.5,3.98,93,1354,59.9,1,No,56,60,3,Good,6,Normal,Service interval reached (hours),service_hours=921; oil_change_overdue=56days; filter_overdue=60days,7,Yes,2023-10-08
R0576,2023-10-01,FB012,Gillnetter,Caterpillar C9.3,1.9,2814,8,2023-08-10,Fuel filter replacement,52,423,75.3,4.6,86,1166,32.2,2,No,61,62,2,Good,24,Normal,Oil change overdue,oil_change_overdue=61days; filter_overdue=62days,45,No,2023-11-15
R0577,2023-10-02,FB028,Seiner,John Deere 6068,3.9,7772,4,2023-08-18,Fuel filter replacement,45,183,85.2,4.62,86,1169,32.5,3,Yes,53,45,3,Good,11,Normal,Oil change due soon,vibration=3; unusual_sounds; oil_change_overdue=53days,4,Yes,2023-10-06
R0578,2023-10-02,FB016,Longline,Yanmar 4JH45,7.6,15179,4,2023-08-18,Fuel filter replacement,45,183,76.1,3.27,89,1198,46.9,2,No,46,55,3,Fair,45,Normal,Oil change due soon,oil_change_overdue=46days; filter_overdue=55days; inspection_overdue=45days,36,No,2023-11-07
R0579,2023-10-03,FB027,Gillnetter,Caterpillar C9.3,1.7,3036,8,2023-09-25,Routine inspection,8,69,86.1,5.03,86,1690,63.8,4,No,67,79,3,Good,22,Normal,Oil change overdue,vibration=4; oil_change_overdue=67days; filter_overdue=79days,6,Yes,2023-10-09
R0580,2023-10-03,FB004,Net Boat,Cummins QSB6.7,4.3,9791,7,2023-09-18,Oil & filter change,15,110,86.0,3.78,82,1370,45.6,2,No,58,72,2,Good,12,Normal,Oil change due soon,oil_change_overdue=58days; filter_overdue=72days,31,No,2023-11-03
R0581,2023-10-04,FB003,Seiner,Cummins 6BT5.9,8.1,16166,8,2023-09-27,Oil & filter change,7,59,79.3,5.31,95,1532,70.0,2,No,41,49,2,Poor,64,Normal,Hull/inspection required,hull_poor; inspection_overdue=64days,19,No,2023-10-23
